name	offset	bytes	dtype	shape	sha256
whisper.hann_window	0	1600	F32BitsLE	400	c692d19f0b2bd745f0dfc967261c3e3d21a2473e485a677d219e9b4a73e0218e
whisper.dft_cos	1600	321600	F32BitsLE	201x400	38ab9745a4bc773335a4781dee5561c95af851a00893e16ceb64e6f33e8b9352
whisper.dft_minus_sin	323200	321600	F32BitsLE	201x400	c8dbfb361b553908fa54adc0ce8054550b534a05f7b0f1378cb8c89a3ffa754e
whisper.mel_weights	644800	64320	F32BitsLE	80x201	88df35e6c6d720d89b2d59b410cf386081a6ad04ccc6daaa732ca9b481575137
carfac.pole_freqs	709120	324	F32BitsLE	81	bd78c423ebb3bf7bd6fa9d32919b557d037814fa232be4660a5f6abe45564853
carfac.car.r1_coeffs	709444	324	F32BitsLE	81	f0e3aab5881788c3fbcbadb022f511648e6cb3d8beb517b9c0bccaf6a640efaa
carfac.car.a0_coeffs	709768	324	F32BitsLE	81	a0c3b029b11aec93d9d02593d42c814092f6b76f0537bcce9ad8e54a04df8ce2
carfac.car.c0_coeffs	710092	324	F32BitsLE	81	61f65a8399cf187b37eb4cb1c6e64ca5de87adc410efeac7d75f58b138a763fc
carfac.car.h_coeffs	710416	324	F32BitsLE	81	61f65a8399cf187b37eb4cb1c6e64ca5de87adc410efeac7d75f58b138a763fc
carfac.car.g0_coeffs	710740	324	F32BitsLE	81	6fb680e50966fc63503eb5fad89ec6b5f71472d7b7ee1f7f4dc40df36f2c330e
carfac.car.ga_coeffs	711064	324	F32BitsLE	81	d0d51382e483ab2e62f0f6707bd88d579e25349648ba9d295e4a1d1dad1ae1ca
carfac.car.gb_coeffs	711388	324	F32BitsLE	81	1230d2b54605f391fe8e9495e96b11a40c0beb50727d6a5fc9501b9e4092dd53
carfac.car.gc_coeffs	711712	324	F32BitsLE	81	a831931687c4b6e027603c984e3b65e7e0b0356df0b46178ab61c43699978647
carfac.car.zr_coeffs	712036	324	F32BitsLE	81	f3fe43d34287059845917ab9776c432add9a253f67c14baa2b9a92880c1132f3
carfac.car.ohc_health	712360	324	F32BitsLE	81	18eff6d9e4f7aa03df4937cfc2ec1afeb7850a7e76f59889ab8343471799d9ae
