method	node	low_hz	high_hz	member_kind	members
mel-triangular	0	20.000000000	60.000000000	fft_bin	1
mel-triangular	1	20.000000000	100.000000000	fft_bin	1,2
mel-triangular	2	60.000000000	140.000000000	fft_bin	2,3
mel-triangular	3	100.000000000	180.000000000	fft_bin	3,4
mel-triangular	4	140.000000000	220.000000000	fft_bin	4,5
mel-triangular	5	180.000000000	260.000000000	fft_bin	5,6
mel-triangular	6	220.000000000	300.000000000	fft_bin	6,7
mel-triangular	7	260.000000000	340.000000000	fft_bin	7,8
mel-triangular	8	300.000000000	380.000000000	fft_bin	8,9
mel-triangular	9	340.000000000	420.000000000	fft_bin	9,10
mel-triangular	10	380.000000000	460.000000000	fft_bin	10,11
mel-triangular	11	420.000000000	500.000000000	fft_bin	11,12
mel-triangular	12	460.000000000	540.000000000	fft_bin	12,13
mel-triangular	13	500.000000000	540.000000000	fft_bin	13
mel-triangular	14	540.000000000	580.000000000	fft_bin	14
mel-triangular	15	540.000000000	620.000000000	fft_bin	14,15
mel-triangular	16	580.000000000	660.000000000	fft_bin	15,16
mel-triangular	17	620.000000000	700.000000000	fft_bin	16,17
mel-triangular	18	660.000000000	740.000000000	fft_bin	17,18
mel-triangular	19	700.000000000	780.000000000	fft_bin	18,19
mel-triangular	20	740.000000000	820.000000000	fft_bin	19,20
mel-triangular	21	780.000000000	860.000000000	fft_bin	20,21
mel-triangular	22	820.000000000	900.000000000	fft_bin	21,22
mel-triangular	23	860.000000000	940.000000000	fft_bin	22,23
mel-triangular	24	900.000000000	980.000000000	fft_bin	23,24
mel-triangular	25	940.000000000	1020.000000000	fft_bin	24,25
mel-triangular	26	980.000000000	1060.000000000	fft_bin	25,26
mel-triangular	27	1020.000000000	1100.000000000	fft_bin	26,27
mel-triangular	28	1060.000000000	1140.000000000	fft_bin	27,28
mel-triangular	29	1100.000000000	1180.000000000	fft_bin	28,29
mel-triangular	30	1140.000000000	1220.000000000	fft_bin	29,30
mel-triangular	31	1180.000000000	1260.000000000	fft_bin	30,31
mel-triangular	32	1220.000000000	1300.000000000	fft_bin	31,32
mel-triangular	33	1260.000000000	1380.000000000	fft_bin	32,33,34
mel-triangular	34	1300.000000000	1420.000000000	fft_bin	33,34,35
mel-triangular	35	1380.000000000	1460.000000000	fft_bin	35,36
mel-triangular	36	1420.000000000	1540.000000000	fft_bin	36,37,38
mel-triangular	37	1460.000000000	1580.000000000	fft_bin	37,38,39
mel-triangular	38	1540.000000000	1660.000000000	fft_bin	39,40,41
mel-triangular	39	1580.000000000	1740.000000000	fft_bin	40,41,42,43
mel-triangular	40	1660.000000000	1780.000000000	fft_bin	42,43,44
mel-triangular	41	1740.000000000	1860.000000000	fft_bin	44,45,46
mel-triangular	42	1780.000000000	1940.000000000	fft_bin	45,46,47,48
mel-triangular	43	1860.000000000	2020.000000000	fft_bin	47,48,49,50
mel-triangular	44	1940.000000000	2100.000000000	fft_bin	49,50,51,52
mel-triangular	45	2020.000000000	2180.000000000	fft_bin	51,52,53,54
mel-triangular	46	2100.000000000	2260.000000000	fft_bin	53,54,55,56
mel-triangular	47	2180.000000000	2340.000000000	fft_bin	55,56,57,58
mel-triangular	48	2260.000000000	2420.000000000	fft_bin	57,58,59,60
mel-triangular	49	2340.000000000	2540.000000000	fft_bin	59,60,61,62,63
mel-triangular	50	2420.000000000	2620.000000000	fft_bin	61,62,63,64,65
mel-triangular	51	2540.000000000	2740.000000000	fft_bin	64,65,66,67,68
mel-triangular	52	2620.000000000	2820.000000000	fft_bin	66,67,68,69,70
mel-triangular	53	2740.000000000	2940.000000000	fft_bin	69,70,71,72,73
mel-triangular	54	2820.000000000	3060.000000000	fft_bin	71,72,73,74,75,76
mel-triangular	55	2940.000000000	3180.000000000	fft_bin	74,75,76,77,78,79
mel-triangular	56	3060.000000000	3300.000000000	fft_bin	77,78,79,80,81,82
mel-triangular	57	3180.000000000	3420.000000000	fft_bin	80,81,82,83,84,85
mel-triangular	58	3300.000000000	3580.000000000	fft_bin	83,84,85,86,87,88,89
mel-triangular	59	3420.000000000	3700.000000000	fft_bin	86,87,88,89,90,91,92
mel-triangular	60	3580.000000000	3860.000000000	fft_bin	90,91,92,93,94,95,96
mel-triangular	61	3700.000000000	4020.000000000	fft_bin	93,94,95,96,97,98,99,100
mel-triangular	62	3860.000000000	4180.000000000	fft_bin	97,98,99,100,101,102,103,104
mel-triangular	63	4020.000000000	4340.000000000	fft_bin	101,102,103,104,105,106,107,108
mel-triangular	64	4180.000000000	4500.000000000	fft_bin	105,106,107,108,109,110,111,112
mel-triangular	65	4340.000000000	4660.000000000	fft_bin	109,110,111,112,113,114,115,116
mel-triangular	66	4500.000000000	4860.000000000	fft_bin	113,114,115,116,117,118,119,120,121
mel-triangular	67	4660.000000000	5060.000000000	fft_bin	117,118,119,120,121,122,123,124,125,126
mel-triangular	68	4860.000000000	5260.000000000	fft_bin	122,123,124,125,126,127,128,129,130,131
mel-triangular	69	5060.000000000	5460.000000000	fft_bin	127,128,129,130,131,132,133,134,135,136
mel-triangular	70	5260.000000000	5660.000000000	fft_bin	132,133,134,135,136,137,138,139,140,141
mel-triangular	71	5460.000000000	5900.000000000	fft_bin	137,138,139,140,141,142,143,144,145,146,147
mel-triangular	72	5660.000000000	6100.000000000	fft_bin	142,143,144,145,146,147,148,149,150,151,152
mel-triangular	73	5900.000000000	6340.000000000	fft_bin	148,149,150,151,152,153,154,155,156,157,158
mel-triangular	74	6100.000000000	6620.000000000	fft_bin	153,154,155,156,157,158,159,160,161,162,163,164,165
mel-triangular	75	6340.000000000	6860.000000000	fft_bin	159,160,161,162,163,164,165,166,167,168,169,170,171
mel-triangular	76	6620.000000000	7140.000000000	fft_bin	166,167,168,169,170,171,172,173,174,175,176,177,178
mel-triangular	77	6860.000000000	7420.000000000	fft_bin	172,173,174,175,176,177,178,179,180,181,182,183,184,185
mel-triangular	78	7140.000000000	7700.000000000	fft_bin	179,180,181,182,183,184,185,186,187,188,189,190,191,192
mel-triangular	79	7420.000000000	7980.000000000	fft_bin	186,187,188,189,190,191,192,193,194,195,196,197,198,199
linear-subband	0	0.000000000	100.000000000	fft_bin	0,1,2
linear-subband	1	100.000000000	220.000000000	fft_bin	3,4,5
linear-subband	2	220.000000000	340.000000000	fft_bin	6,7,8
linear-subband	3	340.000000000	460.000000000	fft_bin	9,10,11
linear-subband	4	460.000000000	580.000000000	fft_bin	12,13,14
linear-subband	5	580.000000000	700.000000000	fft_bin	15,16,17
linear-subband	6	700.000000000	820.000000000	fft_bin	18,19,20
linear-subband	7	820.000000000	940.000000000	fft_bin	21,22,23
linear-subband	8	940.000000000	1060.000000000	fft_bin	24,25,26
linear-subband	9	1060.000000000	1180.000000000	fft_bin	27,28,29
linear-subband	10	1180.000000000	1300.000000000	fft_bin	30,31,32
linear-subband	11	1300.000000000	1420.000000000	fft_bin	33,34,35
linear-subband	12	1420.000000000	1540.000000000	fft_bin	36,37,38
linear-subband	13	1540.000000000	1660.000000000	fft_bin	39,40,41
linear-subband	14	1660.000000000	1780.000000000	fft_bin	42,43,44
linear-subband	15	1780.000000000	1900.000000000	fft_bin	45,46,47
linear-subband	16	1900.000000000	2020.000000000	fft_bin	48,49,50
linear-subband	17	2020.000000000	2140.000000000	fft_bin	51,52,53
linear-subband	18	2140.000000000	2260.000000000	fft_bin	54,55,56
linear-subband	19	2260.000000000	2380.000000000	fft_bin	57,58,59
linear-subband	20	2380.000000000	2500.000000000	fft_bin	60,61,62
linear-subband	21	2500.000000000	2620.000000000	fft_bin	63,64,65
linear-subband	22	2620.000000000	2740.000000000	fft_bin	66,67,68
linear-subband	23	2740.000000000	2860.000000000	fft_bin	69,70,71
linear-subband	24	2860.000000000	2980.000000000	fft_bin	72,73,74
linear-subband	25	2980.000000000	3100.000000000	fft_bin	75,76,77
linear-subband	26	3100.000000000	3220.000000000	fft_bin	78,79,80
linear-subband	27	3220.000000000	3340.000000000	fft_bin	81,82,83
linear-subband	28	3340.000000000	3460.000000000	fft_bin	84,85,86
linear-subband	29	3460.000000000	3580.000000000	fft_bin	87,88,89
linear-subband	30	3580.000000000	3700.000000000	fft_bin	90,91,92
linear-subband	31	3700.000000000	3820.000000000	fft_bin	93,94,95
linear-subband	32	3820.000000000	3940.000000000	fft_bin	96,97,98
linear-subband	33	3940.000000000	4060.000000000	fft_bin	99,100,101
linear-subband	34	4060.000000000	4180.000000000	fft_bin	102,103,104
linear-subband	35	4180.000000000	4300.000000000	fft_bin	105,106,107
linear-subband	36	4300.000000000	4420.000000000	fft_bin	108,109,110
linear-subband	37	4420.000000000	4540.000000000	fft_bin	111,112,113
linear-subband	38	4540.000000000	4660.000000000	fft_bin	114,115,116
linear-subband	39	4660.000000000	4780.000000000	fft_bin	117,118,119
linear-subband	40	4780.000000000	4900.000000000	fft_bin	120,121,122
linear-subband	41	4900.000000000	4980.000000000	fft_bin	123,124
linear-subband	42	4980.000000000	5060.000000000	fft_bin	125,126
linear-subband	43	5060.000000000	5140.000000000	fft_bin	127,128
linear-subband	44	5140.000000000	5220.000000000	fft_bin	129,130
linear-subband	45	5220.000000000	5300.000000000	fft_bin	131,132
linear-subband	46	5300.000000000	5380.000000000	fft_bin	133,134
linear-subband	47	5380.000000000	5460.000000000	fft_bin	135,136
linear-subband	48	5460.000000000	5540.000000000	fft_bin	137,138
linear-subband	49	5540.000000000	5620.000000000	fft_bin	139,140
linear-subband	50	5620.000000000	5700.000000000	fft_bin	141,142
linear-subband	51	5700.000000000	5780.000000000	fft_bin	143,144
linear-subband	52	5780.000000000	5860.000000000	fft_bin	145,146
linear-subband	53	5860.000000000	5940.000000000	fft_bin	147,148
linear-subband	54	5940.000000000	6020.000000000	fft_bin	149,150
linear-subband	55	6020.000000000	6100.000000000	fft_bin	151,152
linear-subband	56	6100.000000000	6180.000000000	fft_bin	153,154
linear-subband	57	6180.000000000	6260.000000000	fft_bin	155,156
linear-subband	58	6260.000000000	6340.000000000	fft_bin	157,158
linear-subband	59	6340.000000000	6420.000000000	fft_bin	159,160
linear-subband	60	6420.000000000	6500.000000000	fft_bin	161,162
linear-subband	61	6500.000000000	6580.000000000	fft_bin	163,164
linear-subband	62	6580.000000000	6660.000000000	fft_bin	165,166
linear-subband	63	6660.000000000	6740.000000000	fft_bin	167,168
linear-subband	64	6740.000000000	6820.000000000	fft_bin	169,170
linear-subband	65	6820.000000000	6900.000000000	fft_bin	171,172
linear-subband	66	6900.000000000	6980.000000000	fft_bin	173,174
linear-subband	67	6980.000000000	7060.000000000	fft_bin	175,176
linear-subband	68	7060.000000000	7140.000000000	fft_bin	177,178
linear-subband	69	7140.000000000	7220.000000000	fft_bin	179,180
linear-subband	70	7220.000000000	7300.000000000	fft_bin	181,182
linear-subband	71	7300.000000000	7380.000000000	fft_bin	183,184
linear-subband	72	7380.000000000	7460.000000000	fft_bin	185,186
linear-subband	73	7460.000000000	7540.000000000	fft_bin	187,188
linear-subband	74	7540.000000000	7620.000000000	fft_bin	189,190
linear-subband	75	7620.000000000	7700.000000000	fft_bin	191,192
linear-subband	76	7700.000000000	7780.000000000	fft_bin	193,194
linear-subband	77	7780.000000000	7860.000000000	fft_bin	195,196
linear-subband	78	7860.000000000	7940.000000000	fft_bin	197,198
linear-subband	79	7940.000000000	8000.000000000	fft_bin	199,200
goertzel-resonator	0	20.000000000	60.000000000	fft_bin	1
goertzel-resonator	1	60.000000000	100.000000000	fft_bin	2
goertzel-resonator	2	100.000000000	140.000000000	fft_bin	3
goertzel-resonator	3	140.000000000	180.000000000	fft_bin	4
goertzel-resonator	4	180.000000000	220.000000000	fft_bin	5
goertzel-resonator	5	220.000000000	260.000000000	fft_bin	6
goertzel-resonator	6	260.000000000	300.000000000	fft_bin	7
goertzel-resonator	7	260.000000000	300.000000000	fft_bin	7
goertzel-resonator	8	300.000000000	340.000000000	fft_bin	8
goertzel-resonator	9	340.000000000	380.000000000	fft_bin	9
goertzel-resonator	10	380.000000000	420.000000000	fft_bin	10
goertzel-resonator	11	420.000000000	460.000000000	fft_bin	11
goertzel-resonator	12	460.000000000	500.000000000	fft_bin	12
goertzel-resonator	13	500.000000000	540.000000000	fft_bin	13
goertzel-resonator	14	540.000000000	580.000000000	fft_bin	14
goertzel-resonator	15	580.000000000	620.000000000	fft_bin	15
goertzel-resonator	16	620.000000000	660.000000000	fft_bin	16
goertzel-resonator	17	660.000000000	700.000000000	fft_bin	17
goertzel-resonator	18	700.000000000	740.000000000	fft_bin	18
goertzel-resonator	19	740.000000000	780.000000000	fft_bin	19
goertzel-resonator	20	780.000000000	820.000000000	fft_bin	20
goertzel-resonator	21	780.000000000	820.000000000	fft_bin	20
goertzel-resonator	22	820.000000000	860.000000000	fft_bin	21
goertzel-resonator	23	860.000000000	900.000000000	fft_bin	22
goertzel-resonator	24	900.000000000	940.000000000	fft_bin	23
goertzel-resonator	25	940.000000000	980.000000000	fft_bin	24
goertzel-resonator	26	980.000000000	1020.000000000	fft_bin	25
goertzel-resonator	27	1020.000000000	1060.000000000	fft_bin	26
goertzel-resonator	28	1060.000000000	1100.000000000	fft_bin	27
goertzel-resonator	29	1100.000000000	1140.000000000	fft_bin	28
goertzel-resonator	30	1140.000000000	1180.000000000	fft_bin	29
goertzel-resonator	31	1180.000000000	1220.000000000	fft_bin	30
goertzel-resonator	32	1260.000000000	1300.000000000	fft_bin	32
goertzel-resonator	33	1300.000000000	1340.000000000	fft_bin	33
goertzel-resonator	34	1340.000000000	1380.000000000	fft_bin	34
goertzel-resonator	35	1420.000000000	1460.000000000	fft_bin	36
goertzel-resonator	36	1460.000000000	1500.000000000	fft_bin	37
goertzel-resonator	37	1500.000000000	1540.000000000	fft_bin	38
goertzel-resonator	38	1580.000000000	1620.000000000	fft_bin	40
goertzel-resonator	39	1620.000000000	1660.000000000	fft_bin	41
goertzel-resonator	40	1700.000000000	1740.000000000	fft_bin	43
goertzel-resonator	41	1780.000000000	1820.000000000	fft_bin	45
goertzel-resonator	42	1860.000000000	1900.000000000	fft_bin	47
goertzel-resonator	43	1900.000000000	1940.000000000	fft_bin	48
goertzel-resonator	44	1980.000000000	2020.000000000	fft_bin	50
goertzel-resonator	45	2060.000000000	2100.000000000	fft_bin	52
goertzel-resonator	46	2140.000000000	2180.000000000	fft_bin	54
goertzel-resonator	47	2220.000000000	2260.000000000	fft_bin	56
goertzel-resonator	48	2340.000000000	2380.000000000	fft_bin	59
goertzel-resonator	49	2420.000000000	2460.000000000	fft_bin	61
goertzel-resonator	50	2500.000000000	2540.000000000	fft_bin	63
goertzel-resonator	51	2620.000000000	2660.000000000	fft_bin	66
goertzel-resonator	52	2700.000000000	2740.000000000	fft_bin	68
goertzel-resonator	53	2820.000000000	2860.000000000	fft_bin	71
goertzel-resonator	54	2940.000000000	2980.000000000	fft_bin	74
goertzel-resonator	55	3060.000000000	3100.000000000	fft_bin	77
goertzel-resonator	56	3180.000000000	3220.000000000	fft_bin	80
goertzel-resonator	57	3300.000000000	3340.000000000	fft_bin	83
goertzel-resonator	58	3420.000000000	3460.000000000	fft_bin	86
goertzel-resonator	59	3540.000000000	3580.000000000	fft_bin	89
goertzel-resonator	60	3700.000000000	3740.000000000	fft_bin	93
goertzel-resonator	61	3820.000000000	3860.000000000	fft_bin	96
goertzel-resonator	62	3980.000000000	4020.000000000	fft_bin	100
goertzel-resonator	63	4140.000000000	4180.000000000	fft_bin	104
goertzel-resonator	64	4300.000000000	4340.000000000	fft_bin	108
goertzel-resonator	65	4460.000000000	4500.000000000	fft_bin	112
goertzel-resonator	66	4660.000000000	4700.000000000	fft_bin	117
goertzel-resonator	67	4820.000000000	4860.000000000	fft_bin	121
goertzel-resonator	68	5020.000000000	5060.000000000	fft_bin	126
goertzel-resonator	69	5220.000000000	5260.000000000	fft_bin	131
goertzel-resonator	70	5420.000000000	5460.000000000	fft_bin	136
goertzel-resonator	71	5660.000000000	5700.000000000	fft_bin	142
goertzel-resonator	72	5860.000000000	5900.000000000	fft_bin	147
goertzel-resonator	73	6100.000000000	6140.000000000	fft_bin	153
goertzel-resonator	74	6340.000000000	6380.000000000	fft_bin	159
goertzel-resonator	75	6580.000000000	6620.000000000	fft_bin	165
goertzel-resonator	76	6860.000000000	6900.000000000	fft_bin	172
goertzel-resonator	77	7100.000000000	7140.000000000	fft_bin	178
goertzel-resonator	78	7380.000000000	7420.000000000	fft_bin	185
goertzel-resonator	79	7700.000000000	7740.000000000	fft_bin	193
wavelet-packet	0	0.000000000	125.000000000	wavelet_packet	0,1
wavelet-packet	1	125.000000000	250.000000000	wavelet_packet	2,3
wavelet-packet	2	250.000000000	375.000000000	wavelet_packet	4,5
wavelet-packet	3	375.000000000	500.000000000	wavelet_packet	6,7
wavelet-packet	4	500.000000000	625.000000000	wavelet_packet	8,9
wavelet-packet	5	625.000000000	750.000000000	wavelet_packet	10,11
wavelet-packet	6	750.000000000	875.000000000	wavelet_packet	12,13
wavelet-packet	7	875.000000000	1000.000000000	wavelet_packet	14,15
wavelet-packet	8	1000.000000000	1125.000000000	wavelet_packet	16,17
wavelet-packet	9	1125.000000000	1250.000000000	wavelet_packet	18,19
wavelet-packet	10	1250.000000000	1375.000000000	wavelet_packet	20,21
wavelet-packet	11	1375.000000000	1500.000000000	wavelet_packet	22,23
wavelet-packet	12	1500.000000000	1625.000000000	wavelet_packet	24,25
wavelet-packet	13	1625.000000000	1750.000000000	wavelet_packet	26,27
wavelet-packet	14	1750.000000000	1875.000000000	wavelet_packet	28,29
wavelet-packet	15	1875.000000000	2000.000000000	wavelet_packet	30,31
wavelet-packet	16	2000.000000000	2125.000000000	wavelet_packet	32,33
wavelet-packet	17	2125.000000000	2250.000000000	wavelet_packet	34,35
wavelet-packet	18	2250.000000000	2375.000000000	wavelet_packet	36,37
wavelet-packet	19	2375.000000000	2500.000000000	wavelet_packet	38,39
wavelet-packet	20	2500.000000000	2625.000000000	wavelet_packet	40,41
wavelet-packet	21	2625.000000000	2750.000000000	wavelet_packet	42,43
wavelet-packet	22	2750.000000000	2875.000000000	wavelet_packet	44,45
wavelet-packet	23	2875.000000000	3000.000000000	wavelet_packet	46,47
wavelet-packet	24	3000.000000000	3125.000000000	wavelet_packet	48,49
wavelet-packet	25	3125.000000000	3250.000000000	wavelet_packet	50,51
wavelet-packet	26	3250.000000000	3375.000000000	wavelet_packet	52,53
wavelet-packet	27	3375.000000000	3500.000000000	wavelet_packet	54,55
wavelet-packet	28	3500.000000000	3625.000000000	wavelet_packet	56,57
wavelet-packet	29	3625.000000000	3750.000000000	wavelet_packet	58,59
wavelet-packet	30	3750.000000000	3875.000000000	wavelet_packet	60,61
wavelet-packet	31	3875.000000000	4000.000000000	wavelet_packet	62,63
wavelet-packet	32	4000.000000000	4125.000000000	wavelet_packet	64,65
wavelet-packet	33	4125.000000000	4250.000000000	wavelet_packet	66,67
wavelet-packet	34	4250.000000000	4375.000000000	wavelet_packet	68,69
wavelet-packet	35	4375.000000000	4500.000000000	wavelet_packet	70,71
wavelet-packet	36	4500.000000000	4625.000000000	wavelet_packet	72,73
wavelet-packet	37	4625.000000000	4750.000000000	wavelet_packet	74,75
wavelet-packet	38	4750.000000000	4875.000000000	wavelet_packet	76,77
wavelet-packet	39	4875.000000000	5000.000000000	wavelet_packet	78,79
wavelet-packet	40	5000.000000000	5125.000000000	wavelet_packet	80,81
wavelet-packet	41	5125.000000000	5250.000000000	wavelet_packet	82,83
wavelet-packet	42	5250.000000000	5375.000000000	wavelet_packet	84,85
wavelet-packet	43	5375.000000000	5500.000000000	wavelet_packet	86,87
wavelet-packet	44	5500.000000000	5625.000000000	wavelet_packet	88,89
wavelet-packet	45	5625.000000000	5750.000000000	wavelet_packet	90,91
wavelet-packet	46	5750.000000000	5875.000000000	wavelet_packet	92,93
wavelet-packet	47	5875.000000000	6000.000000000	wavelet_packet	94,95
wavelet-packet	48	6000.000000000	6062.500000000	wavelet_packet	96
wavelet-packet	49	6062.500000000	6125.000000000	wavelet_packet	97
wavelet-packet	50	6125.000000000	6187.500000000	wavelet_packet	98
wavelet-packet	51	6187.500000000	6250.000000000	wavelet_packet	99
wavelet-packet	52	6250.000000000	6312.500000000	wavelet_packet	100
wavelet-packet	53	6312.500000000	6375.000000000	wavelet_packet	101
wavelet-packet	54	6375.000000000	6437.500000000	wavelet_packet	102
wavelet-packet	55	6437.500000000	6500.000000000	wavelet_packet	103
wavelet-packet	56	6500.000000000	6562.500000000	wavelet_packet	104
wavelet-packet	57	6562.500000000	6625.000000000	wavelet_packet	105
wavelet-packet	58	6625.000000000	6687.500000000	wavelet_packet	106
wavelet-packet	59	6687.500000000	6750.000000000	wavelet_packet	107
wavelet-packet	60	6750.000000000	6812.500000000	wavelet_packet	108
wavelet-packet	61	6812.500000000	6875.000000000	wavelet_packet	109
wavelet-packet	62	6875.000000000	6937.500000000	wavelet_packet	110
wavelet-packet	63	6937.500000000	7000.000000000	wavelet_packet	111
wavelet-packet	64	7000.000000000	7062.500000000	wavelet_packet	112
wavelet-packet	65	7062.500000000	7125.000000000	wavelet_packet	113
wavelet-packet	66	7125.000000000	7187.500000000	wavelet_packet	114
wavelet-packet	67	7187.500000000	7250.000000000	wavelet_packet	115
wavelet-packet	68	7250.000000000	7312.500000000	wavelet_packet	116
wavelet-packet	69	7312.500000000	7375.000000000	wavelet_packet	117
wavelet-packet	70	7375.000000000	7437.500000000	wavelet_packet	118
wavelet-packet	71	7437.500000000	7500.000000000	wavelet_packet	119
wavelet-packet	72	7500.000000000	7562.500000000	wavelet_packet	120
