a	b	dot
3fb2f543,c0a5f734,bf67d27b,4036da44,3f5b38de,bfa18b08,3fc54ed5,3fe15969,bda9f3c0,404cb16b,bf2440d4,3e2a864f,3ff54282,c001a18f,3ee29417,401eac4d,3fd90676,c0081e64,3f912e52,3f110ca8,bf973945,3f76f862,be90f165,3fde14b7,4025f222,bda52dc9,bfdd5165,3e7f35a3,bfe8c4a5,3ea86770,c010a4ff,bf8bad0d,3f8290c4,bfa36d82,be837448,bf6c61d6,3f99e3d9,bfc91499,bffbb97a,3f5c153d,3f84399e,bfb4a932,3d86ec98,3fc674dc,3f6832c2,bfbd5507,3d8209b8,404691cb,3f1598ac,400e63c9,bfdefac9,c05440b6,bf95d130,c0954550,3fec79f5,4042c675,be8aa463,bf372df4,bfb77496,be30faa0,40211bad,4000c39e,bd0d6239,40817585	4005d1b0,3fe7bbc2,3f80e5d4,be3c7461,3f3fb427,4002843a,c09b9032,c03159b3,3f90a46c,c07290ee,bdf04c01,4025349a,c036d448,408aacff,c03292ec,bf11407f,bfcc3e37,c01f665e,c07be31d,be8ca57b,3f570242,3f499f06,3eb72aa6,3ff2ace0,3f029db0,bfa46de0,3dae47f7,400c40ef,404ac6fd,bf515a14,c01289d4,3f620e70,3f93ea2e,3ebfbe55,bffe4ed4,bfc695e5,3da24ea0,c02ba801,3ec678ad,bedd03cb,3dc1684d,bfd55c87,bf761131,c0356da5,bfe6e7fa,3f8c5841,3ee930a9,c000731f,3e58e526,bf7e3594,bfdec79a,3f238712,3f489e60,bff0ab45,400663c7,be50a964,400548ef,bea73ea5,be4a625e,bfb327f9,bf2b05ea,4086ecbf,3fa2c1f0,bf9b136e	c22e2141
400077bf,bedb294f,be3eea7b,3fa154cc,4055931c,40800cb4,bfb92407,bf52b227,bf8a5351,bfa2651d,c0873472,bf5f7ea8,bf6fc665,bf86abdc,bea16cf5,be317ec5,bf87d9f8,3fe6fcb1,40680cab,bde55f0e,bf9df088,bfa24f05,3fade7ec,3f620db7,befe9035,c020af28,3ff2c90f,3ee760ef,3d988d3f,3fb10d21,3f146a79,bf688d70,bf19b773,bfae3f26,be39c046,3fc26f66,bfcc5797,bfa7d840,3eff5a84,4048fc75,c03e74f2,bdec57cc,bf079e46,bf39c612,404c913a,401130b3,bfc2d8cd,401d77d7,beb26c6d,bf139baf,bfd2f232,3fa16be9,402c89cf,3ffe8451,3ff1bb69,c039adc2,bd882703,c01012b4,3cf548a0,3fb0b134,bf6a726b,3fc9305f,3ff98111,bd353f5b	40163849,beec0872,bdd1cd32,c01bd50f,3eedfc7f,3e248fdf,c09e6c1e,4051a1de,c0615954,bf2c57a7,bfec5f55,3ee0af92,bee71b05,bb27767e,c03f0116,402a9bd9,402597a1,c06fb157,bff34430,3fc005ef,bf9fc61f,bece3448,bd7ce1f1,403678f0,bfcfba88,bf2bd4f2,c04e18ab,bea2d0b9,3fff7a94,bfbf431b,3f804b1f,3fa38820,3f96b3db,c093aa61,406a9a3c,bfb63ffe,bec810f2,3ed97fa3,bf90316a,c058000e,3d2e21f4,bde13254,3fc6659b,c0879244,c003fe9e,bed31da4,c033fbfe,bec9822d,4081783d,3fe779ed,3ea1c116,3ed45113,bf176fd7,c00c95f7,c067960e,3f3554d5,c0143208,3eb676e6,bc820904,bff1ed01,3f46d327,c0aec9fe,c0225b80,3fd735a9	c2288856
3f965e88,408b5f32,3fb8236e,bfc8e46b,3e6638fb,c01942e7,402b6220,3e3975ee,c0a5c8fa,40254b99,c00f88e3,be20200d,3f97b14e,be55e56c,401cb996,3e6a6008,bfd2faf2,4016f878,c02be021,bfcf8155,40585fae,3f2b271c,c0081ff0,3ec91c8a,bf9b6fbf,bfa00980,3f516d49,bef96d01,c02c4f5b,40736def,3f921870,bf36b9c4,3f8db9d6,bef9d8a9,40321e3d,bfee221e,3f9137d4,3fe2870b,bfe6b399,c07ebea0,bf5fa13a,3facca7b,3f92e25e,3f945028,bdcd2aa8,3fdb7bc9,3e7968f1,3ecca2c9,40068a47,3fa3f243,c0bdaaef,c04c942c,3e39a3a2,3fb51b10,bfdc2eb3,3f513462,4061544e,3e6a6d19,bf0d011f,c055fd58,3fc2802c,3fc4ef45,3e6d576f,c04e0971	3cff41f7,3e3ceb3d,3ffc3ccb,c032c735,3e94ed15,409f03d3,bfc36acb,c01f93c4,40415067,c0415a43,be61d5e8,4082f8bc,3ffcee29,bfcc43fd,40676dc5,401b5fd8,3fea965e,3fbd0db5,be6db848,c0460355,3f8715bb,c0072c2c,bfb4996d,bfa4ee8d,3fab2ead,c0a193ef,3da04568,c01d5f57,3fa6500c,3f8b69ba,bf809015,bf56693f,40543e3d,3e196e80,c02439e1,3e218ab3,401a57ad,bea0578c,3f8b8f12,c0153301,c053113e,c09d2e90,3fe58342,c0d757c8,3f95528e,bfff15db,3e151bdc,3fa9c109,4024477f,3ffdccbc,c03c4abd,c0524ec8,befe087b,bf20f27a,401d6795,bffac497,bf187d23,3eadafa6,4030424c,402a8ac5,c040c74a,bfa6bc31,40251168,bd653a1a	3f7e1683
3fab8270,bf13dedc,3fe803ee,c0813c7e,bef46846,3eb21012,bffac418,3f1105e4,3f2acefa,3facd8f0,c052acbd,bf1e20d5,bfef6a31,bf77f87f,beab38cd,3fd0c4b4,40610749,3f827ac9,c015f2e0,3ef3fa89,bf3e9739,3f8b5d7c,3fb1f93c,bf9d689f,c057c981,3e30a886,bfbc913b,3f9f069f,bf939114,3f84737e,bf918c19,bf4aea83,3f89c7eb,bf9132ef,4001282c,3ff34459,3fbb49b6,40237f1b,bf87c2e0,c0af9acf,3f8f2509,bdd4b32d,3e73009f,40649c6d,3f154488,c00b0fa7,3f0d9793,bf8fc651,bf6cee08,3fe85e3e,c04b56b6,3f1f6b90,3ffbafd7,bfca3c48,bfeed9ae,3dda35e7,c006902d,3ec9d8b1,c03084e5,4029d74c,bf8b8d31,be309c8d,3e1a218d,c0617934	c01b5aac,bf690946,406a513d,405e0bbb,c0447354,3fd301c1,40cd75db,bfab8229,40402b8f,3f1f4339,be56dfb6,bf3dd0a4,3f9308ad,befc7ea6,bf5586ec,3f983717,3e0f8fd3,3f11fab5,bfe96f3d,3fad0786,3fedb38e,c01727c6,3fde0df9,c04065d7,4019618f,3e4ef590,3ff9e460,3f24892a,bfa63bf1,3fd81c55,bfc776c5,402b9b72,bfa711b6,bfb8c62f,c0b38ef5,bffaf104,3e250d9f,3fabd914,bf25143c,3eed0d8b,be6910a9,becbc981,4041fd38,c01e4040,c04dacbd,c055025e,40168eee,4021895c,c0487868,bfadc772,3f083ff5,beb66cad,bfa1bfa2,bfe9d916,bfabedbb,403724da,3ebb9418,3fbb62aa,bf648097,c012fa55,4011f195,bf7ae11c,be9f4362,3e1b16e1	c219c9f1
bfa92d0a,3eda1659,3f31013e,bfd4d83a,c01fdae8,c06dde0d,be5f4032,3fb38565,3fbcdc05,3e5ff793,3f9b49f5,3ee846e4,3f8487d2,3fa488a3,bf63d823,bf15dbd5,bfef3d6c,c00d9ffe,bf0a5cc3,3ed09973,c0803887,409ffed9,bd10d3ee,402e87c4,bf43fd4a,4085c3a6,3fa7fb97,bf9e8044,407917ce,3fef9ce6,c04b4566,bf4c554e,3e213ef3,401f3218,401cfc6c,40010977,407772f3,40573773,3dae82d6,bfe6c43e,3f997368,bf49df4e,bfaa09a8,bf9628c3,40093dec,3f41c5b1,be71c981,bf102541,3fb482aa,c00ceb9b,3e174ed3,bf64442a,3fe7783e,3ee713d2,c03b1bfd,40130620,bf04e48f,3f941e37,bfb615bd,bfa67bd0,bf7e2e45,bee6e453,bf34c2ce,bfab7d50	3f5a8276,bebc13cf,c056a80c,bea0c35d,405f041d,3e94e6f6,bfd9ffec,c0161777,c03c50f6,3fb2d66e,c0254e0e,404d6b3b,400fb823,c021fd1f,c090b827,3fcedf0a,3f1c58a0,3f25658c,3d2b6b64,beab7471,407e42de,3fa8e94b,c0400e64,bd01b562,3ea8f32d,bfb99c5f,bd640bda,3fe8ddb3,3fc76414,bc8c872a,3f5f3673,bfe43847,c02f15f6,bfda7a09,bf8406aa,3ffde139,409ced80,bfdd935d,3fd1e6d7,40586dbd,bf487624,bf9e8714,bdb99137,3fb62bcf,bfc6c22c,bf93b6cf,3ebd4b37,3fd7a97e,bf2023c3,3fc8a94c,beb0ec8b,3fcd69c4,4056012e,c02119df,c039410c,3f3449be,bf759c58,3e2359f8,c05c8778,3f6077bd,3ffdf828,40359b92,bfe988af,be05dcc3	c1d2359b
c082eaaf,3f89dc40,bfe1dabe,3f5bc08d,3fdc6a24,3e9ce772,402f7b83,c00d4566,c0936cdb,3fa10f26,3f11ba25,bf3fe208,c07888b0,bfe2d3d8,3eedc715,3f8bc712,3dae1902,3ee98d86,beb8180a,bf1ebdf3,4005707d,4086ef7b,bf479a71,3ff3e345,40160de6,3fed4e3a,bfbe7886,c00f4e0b,3ecfd719,c0242be8,be34772d,be812c3a,3e0f11ee,c036d051,be2515e1,bfa19874,c010a227,c01353ce,3f8c97c5,c090baa5,3f83ebbf,be411438,3f490a4b,3f4e69d3,beb38f9a,3ff5550b,bfa44fa6,c01271eb,bfa759dc,bf708007,bfc68945,3e8453d2,c0215cfd,bff6c34a,bfc84686,3faaa4d0,4051cbba,bfb38d6f,3ff3d55b,c0450c0a,bfd2b3bc,bfddd27b,c0383a83,be3cae8e	bfc344c1,3fe50042,3f9549d1,bc7ba820,3f6d0804,3f192699,bee2140c,bf8dc068,3fe1d7e5,3f90cfd8,3e61c14b,40de5ec3,401c6fbc,c0afddb0,be21ef66,4001b2d3,be210356,bf2f2767,bfd3531b,bf78bf3c,bf51b4dd,40122a04,c03ad8a7,bf7d83cd,40221f97,be8ec903,408dac83,3fab3904,bffcae90,3f4f8c7e,bfb979dc,3f0fe9f6,4042be5a,bf8f8572,3c15cebc,c08b6d28,3edc180a,3fb462b2,3f8cec67,401f2728,c01478c4,bfea7d51,bfb1c7d5,3fa3e1ff,3ff183db,407a2f33,4038fd60,bff58c1f,3d78867c,c02fc0b2,3e97d099,c033677a,3f913644,3f9da330,400aeda9,403016be,c03934ed,bd47e348,bff02ed6,c0437307,3eb5d1c9,400a4028,bfcf16ea,bfbfa8c7	c08c85c9
3f77a75f,4013ff0d,c00eb702,3fbd9209,c090ee7f,40be8e18,3fbc61dd,40a2a872,bf7fa008,3fd26133,bfa62d26,3f4e3b9c,bfc6ef1d,beab5d2b,bf7a165c,bf075c14,bf07dbee,400378b5,bed50d73,3fdcbbdc,be8dc40f,4067c2fa,c018c2fa,401424aa,bf91cad6,c048cca5,bffbc139,bfce5464,c01b8485,bf30bf00,3f1a5a7f,bfaa9430,bed3e698,c07a0d88,bf11b74e,bf77fee7,c03bcd2a,bffb4682,3e941336,c05a3f7a,bed063a4,bf80d733,c03ed14f,c013438e,4036b9cd,bed8df18,beac0403,bf946ae5,c02f6a5c,3fb3a6db,c000c6c2,bf8a3dd7,bfdbbdf2,c03dea38,c058026f,bfa6c029,bfc370c6,bf985513,bf95c4ee,4035baec,c021f269,400d1623,3ea9eb44,3d2b8e75	3dd32b56,3f76e2bb,c0177566,c07131f5,3e8465fc,bf166427,be423e5a,3ffe3be3,bff84653,c02417bc,3e542285,c080d2f1,40b94954,4027a630,be027ea8,c005b6e9,c022a99e,3f98333e,40639203,c0165ce2,bfcc499a,401cd6a7,3c23e32a,3f29d4c7,4006445c,bfb68aba,c0114513,bed8ace2,c04272c9,bfaa2297,3cc73305,3ef8d1b7,4026b3fe,3d43a1fd,c00ae6f1,401ead9a,bf9fb672,bf5bec60,3f1d882a,3f579d2f,3f29de1b,bf9f83b5,bff67d5b,40588eb4,bfc0b858,3e824401,3f95e024,3f214c5c,3f5ecadc,3fa5df11,c0cec1e5,bf520075,4051ff50,40032e85,beb83a3b,4005e30e,3fc30405,3fc2ad9c,c019ba9d,bf6ef8a7,bf77ebf0,40212625,c049d038,4020c76f	41588af9
40551c5b,3f40a3e6,3fa3e211,3ee03917,bf76a2ef,401cab4f,bf13b667,bdf148cd,bfd8fec3,bfc3ca40,c037e81c,3e2671d4,bfdd3a0a,3fde6414,c048f4c0,3fb08393,3f87f0eb,c06537b5,40093274,c0443981,bfd687d1,3e141161,bf9a901c,4009a29f,c07e4f0e,bf9565cf,bf07514b,bee53e08,3fabd813,bf42674b,3e5a70fb,bf305849,bfe114eb,3eeed89e,3ebf8ce1,405055c9,bed5f23d,3fb0260f,3fbd6df9,bed8493b,bfa6a7fc,40913621,3dc3293b,bfc09998,bfa2f955,bff803bc,be7eec66,bf4c3810,be214510,bd571bb5,c0510134,406d7b08,bfcdda03,bf899bf1,3fc2fd53,3f3ad360,40439361,40532901,bfc6c031,bffcd078,40b3e4a7,403ab7f0,3f905d2e,40c57b57	3f62449d,409bf903,3eb0ce48,4013f009,bfcfdfdd,3e4561fc,4031bf6f,bfaeec55,bf9ddcea,bfc9e562,bfdf4522,bd4e8e89,c066814a,bc14cadb,bfeb0c78,40b4230c,4048032a,3f8f26a6,bff6c0b7,3ffba492,4069754b,bf8d9729,3f467dbc,bfc02fb5,3fabe504,bfe58499,be901b21,c04de811,3fdbdf20,bf9f08d8,3fd57cfa,3efe8fef,c02feab9,3f78d9f6,4013e829,bf8805af,3f21928f,4006075d,c00e945c,401a2f59,403b8150,bdb2758e,40062e77,c062921f,bf982f0a,c03eac11,3de59f90,3f6e2ae9,3f0660d5,bf48299d,3f064153,c09fb450,3edaa40a,bf6311c5,bf987315,bfdd3ae9,401c0197,3fee0749,bfb2c8bf,bf1edb3d,3e29527f,bf74ede2,3fef75c2,405858e1	42284246
c00e29e1,405020bb,3f723fd3,c032dd4e,3ff72d66,402358b5,3d8fafd0,c0678b89,c020f8d6,3f9a88ca,3f3559a7,40784630,3fe0bcf9,4059eb93,bf43d5d8,c086814c,bf54b6d1,3f99eaf4,c0030d14,bfeefca3,c03ed754,be65037d,bf9a8a6b,40248bc4,c0334afd,bd246ec4,4019a45f,bf31371c,3d188295,3f97183f,bf772e59,bfb85f5a,401784f6,3f638e32,4002bdb8,bfffc3da,400a3c29,400fd583,be0da29f,3e8b0cad,be704b2a,c0073378,406dc78f,c0578baa,bfb83137,401a7b71,c046ac55,402a183b,40cfb6d1,bddb8bfa,c089a696,bfd847d1,3f3339d7,c0373679,3f94d129,3f183801,c021a63b,405b01b9,c0464264,be8dc27c,4006c07f,3ef4017e,c09ed5bf,be73acd6	bea3c008,c03ab2f2,3f88d354,bfbb0330,3f5f80a9,bfe74dd5,bf286f41,4090e80d,c0f94585,bfefe8dc,be9c52bf,3ed12b11,3fb505ae,bf79792f,bdb2f280,bf1a7cb5,40662ada,401717c3,3f4dd767,3ead2074,401b3054,3ef483d3,bf04c643,bf7e8f9a,c06563f2,40020bfc,bf416de5,bb5a9bf9,bd914b4b,bd139bb5,c00e6d22,c058d5ff,bda409eb,3e982c38,3f1d3409,bfd1c985,bfbec199,bf070e41,c00acfca,3fee9feb,bf84bba6,3cc024ec,beee166d,3f1bec27,40241229,bd8472b2,be7f8b26,40042fe8,3f5a15f0,bf482eb0,c066db30,c00c2101,c00f170d,40101ca4,c03d313c,bf6812cf,3faa5f76,4026335a,bdf59e4d,be4259bd,bfcd7f01,3eb7fc99,40050147,3fdec37d	40b1dd2d
bd3885ac,bfaf658a,bf8ddcd4,3f5c2abf,bf4c8800,3fbcd839,bf967478,3d598bbf,bf62bb80,3ec1b962,bfcad1f2,be2eb7dc,bfe77069,400d582f,bf5fc922,be76c9c9,3ea23b78,3fe37545,be8a0e5c,3f62f810,c039bfc4,c02f4964,c0607ad9,c024646b,3ede62ea,3fe412d8,40553423,bf89d2d0,bf049dda,3fa43daf,3fa0d05c,40898f4d,3d145944,3e67d27e,3e0cb6f3,3f8269b1,400eeec3,c0497a50,bfcc9ca8,3d89ed40,4065c2dd,3fefc124,c0408c32,bc8b5c1e,3b61baaa,bd5b5bf5,bf41ce57,3f656490,3fd9cceb,be570697,bf83c0de,3ee4b18d,3fb6b5f3,4069e509,3faa7401,3f818445,404863dc,c0506de0,4047c78b,3f72738b,bebc4b4f,3fde70ff,bf1c5cbc,bf592db7	3ede0fbb,3f9c2a42,408e0883,3f2ef162,bf550d90,bfe79041,3e612bf9,400e849b,3fd3576f,40334a4e,bfebc529,3f8358da,be73aa09,bfd205f3,bf1d1a93,3e39448b,4035a004,3ffda03e,3ef63a35,c03aad88,3f1d028b,bffb0a32,bf24ce45,c011aa14,40554fa0,bf9a7276,3fc3dcad,c017c21e,bf5a1b56,3e104f53,bdcc508c,4050c93a,3ffe89bc,407fe61c,bfd96d32,c0356a90,bf36f2ff,3ed0d5b4,bf1f1445,3e6b3dc3,4037aeb5,bfea56b4,3f182149,bfe6c982,be16166c,bf9a29db,bfc9fcf8,bf9bb96d,c035d51a,3fc37079,4011847d,bfabb385,3faf3ef7,3ecb7bff,3e3f2199,3fb1b4f9,40688940,3f11eea6,bffa1f66,bf9f2961,bfa614ca,bf1e5dd2,be21fa6f,3d471737	41d239f0
