a	b	add	sub	mul	div
06fa985b	e36f371e	e36f371e	636f371e	aaea2a31	80000000
a4b6d062	1476ae25	a4b6d062	a4b6d062	800002c1	cfbdb888
05fa5b72	4c2af1d1	4c2af1d1	cc2af1d1	12a72d36	00000177
f4ae29ad	51960ccf	f4ae29ad	f4ae29ad	ff800000	e29491c2
d36d0358	ff709210	ff709210	7f709210	7f800000	137c36df
30c85861	85496425	30c85861	30c85861	8000000a	eafeaba1
9d6124c0	33d99c7c	33d99c7c	b3d99c7c	91bf61c6	a9046e37
1e084c95	f24979ad	f24979ad	724979ad	d0d689d3	80000000
ea935f8d	b9981878	ea935f8d	ea935f8d	64af1da4	70780d35
cead1494	81ab1dca	cead1494	cead1494	10e761c6	7f800000
d0684a53	5d369659	5d369659	dd369659	ee25ad43	b2a2d7f2
2fcd2ce4	53674f4f	53674f4f	d3674f4f	43b96312	1be31371
fba2d5c6	6be2f3c7	fba2d5c6	fba2d5c6	ff800000	cf37ad29
1e2399f1	788c5e2d	788c5e2d	f88c5e2d	573368be	00000000
1a5831c2	0a16f05b	1a5831c2	1a5831c2	00000000	4fb7569b
875d0479	434a2aae	434a2aae	c34a2aae	8b2e8a60	838bef68
6cba02fd	e5804210	6cba00fc	6cba04fe	ff800000	c6b9a32e
cb22081d	aaf95421	cb22081d	cb22081d	369dcf24	5fa65e03
34f2c28e	ef2a1e66	ef2a1e66	6f2a1e66	e4a15206	8536a80a
4748ae19	d172a029	d172a01c	5172a036	d93e3221	b553be05
4965c031	e63279de	e63279de	663279de	f0202d01	a2a4c5fa
3f55b64d	bb18f14d	3f551d5c	3f564f3e	baff5b5d	c3b2dbe5
314c5918	dd34b2a3	dd34b2a3	5d34b2a3	cf103d3d	9390c0c4
51914af6	69403e3f	69403e3f	e9403e3f	7b5a3719	27c17a8e
d01abfad	8bbefb05	d01abfad	d01abfad	1c66e3ff	7f800000
7ddfdd0b	3e927494	7ddfdd0b	7ddfdd0b	7d001202	7ec3a752
c42a04ff	6537c9ea	6537c9ea	e537c9ea	e9f41f57	9e6cd221
e28db4c7	9dbb5d62	e28db4c7	e28db4c7	40cf6d7d	7f800000
94dbe654	f9287d59	f9287d59	79287d59	4e90bad3	00000000
c1fc2c79	5b531efa	5b531efa	db531efa	ddcff72b	a618e3c6
2f5ac20e	cb4d820c	cb4d820c	4b4d820c	bb2f9c86	a38840b4
7ca62811	b0e045b6	7ca62811	7ca62811	ee11904e	ff800000
ec514052	17d21a30	ec514052	ec514052	c4abbc2b	ff800000
fefcbbf3	8367f08f	fefcbbf3	fefcbbf3	42e4fb16	7f800000
