pc	macro_index	micro_opcode	rounding
0	0	TOKEN_BIND	exact_or_explicitly_pinned
1	1	TENSOR_GATHER	exact_or_explicitly_pinned
2	2	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
3	2	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
4	2	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
5	2	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
6	2	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
7	2	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
8	2	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
9	3	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
10	3	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
11	3	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
12	3	RESHAPE	exact_or_explicitly_pinned
13	3	TRANSPOSE	exact_or_explicitly_pinned
14	3	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
15	3	RELATIVE_BIAS	exact_or_explicitly_pinned
16	3	CAUSAL_MASK	exact_or_explicitly_pinned
17	3	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
18	3	F32_REDUCE_MAX	binary32_roundTiesToEven_after_each_scalar_result
19	3	F32_SUB	binary32_roundTiesToEven_after_each_scalar_result
20	3	F32_EXP	binary32_roundTiesToEven_after_each_scalar_result
21	3	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
22	3	F32_DIV	binary32_roundTiesToEven_after_each_scalar_result
23	3	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
24	3	RESHAPE	exact_or_explicitly_pinned
25	3	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
26	4	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
27	5	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
28	5	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
