name	dtype	begin	end	elements	crc32	refs
decoder.block.0.layer.0.SelfAttention.k.weight	F32	22440	808872	196608	dbf4ea25	1
decoder.block.0.layer.0.SelfAttention.o.weight	F32	808872	1595304	196608	5c18bbdd	1
decoder.block.0.layer.0.SelfAttention.q.weight	F32	1595304	2381736	196608	63af284b	1
decoder.block.0.layer.0.SelfAttention.relative_attention_bias.weight	F32	2381736	2382504	192	95028e4a	0
decoder.block.0.layer.0.SelfAttention.v.weight	F32	2382504	3168936	196608	280a68aa	1
decoder.block.0.layer.0.layer_norm.weight	F32	3168936	3170984	512	a93e1836	1
decoder.block.0.layer.1.EncDecAttention.k.weight	F32	3170984	3957416	196608	e6d21538	1
decoder.block.0.layer.1.EncDecAttention.o.weight	F32	3957416	4743848	196608	42b20f43	1
decoder.block.0.layer.1.EncDecAttention.q.weight	F32	4743848	5530280	196608	8827de98	1
decoder.block.0.layer.1.EncDecAttention.v.weight	F32	5530280	6316712	196608	2c57efff	1
decoder.block.0.layer.1.layer_norm.weight	F32	6316712	6318760	512	85f22d12	1
decoder.block.0.layer.2.DenseReluDense.wi_0.weight	F32	6318760	8415912	524288	b6582ed1	1
decoder.block.0.layer.2.DenseReluDense.wi_1.weight	F32	8415912	10513064	524288	c64d3bba	1
decoder.block.0.layer.2.DenseReluDense.wo.weight	F32	10513064	12610216	524288	d3193998	1
decoder.block.0.layer.2.layer_norm.weight	F32	12610216	12612264	512	296333b5	1
decoder.block.1.layer.0.SelfAttention.k.weight	F32	12612264	13398696	196608	546c99d0	1
decoder.block.1.layer.0.SelfAttention.o.weight	F32	13398696	14185128	196608	dbca5859	1
decoder.block.1.layer.0.SelfAttention.q.weight	F32	14185128	14971560	196608	df778056	1
decoder.block.1.layer.0.SelfAttention.v.weight	F32	14971560	15757992	196608	427a56cd	1
decoder.block.1.layer.0.layer_norm.weight	F32	15757992	15760040	512	33e64eea	1
decoder.block.1.layer.1.EncDecAttention.k.weight	F32	15760040	16546472	196608	754da84d	1
decoder.block.1.layer.1.EncDecAttention.o.weight	F32	16546472	17332904	196608	3985659f	1
