index	opcode	pre	cap	post	active
0	INPUT_TOKENS	0	-	0	0
1	EMBED	0	384829069721600.0	0	0
2	RMSNORM	110473686	7175833085641.652328376303616	110473686	0
3	SELF_ATTENTION_SEQUENCE	11795037501626250	20623752688872672.359851491328	11795037501626250	0
4	ADD	11795038127730777	21008581758594272.359851491328	11795038127730777	0
5	RMSNORM	52334584172885280555	9342042647583.187444955086848	9342042647583.187444955086848	1
6	GATED_MLP	15645697529250231033419.001994490970112	1090941268725574232.3397492736	1090941268725574232.3397492736	1
7	ADD	1102736339991992933.3397492736	1111949850484168528.888856576	1102736339991992933.3397492736	0
8	RMSNORM	4472698595007654832685.0230537216	8541279187385.7675484725248000	8541279187385.7675484725248000	1
9	SELF_ATTENTION_SEQUENCE	14965042790652854578886.5813944016896000	46924168623088365.88870696960	46924168623088365.88870696960	1
10	ADD	1149660543152218424.22845624320	1158874019107256839.8019821568	1149660543152218424.22845624320	0
11	RMSNORM	9535284544904768512001.81608110080	17466529847652.052304111075328	17466529847652.052304111075328	1
12	GATED_MLP	80024607698201720887832.453973528510464	1709904837913983257.6426901504	1709904837913983257.6426901504	1
13	ADD	2859565466562474037.87114639360	2868778857021240427.298160640	2859565466562474037.87114639360	0
14	RMSNORM	11927247561032214419698.55160770560	8782436749792.191079937736704	8782436749792.191079937736704	1
15	SELF_ATTENTION_SEQUENCE	10844037058211564666938.174988045877248	46431725297681595.15896709120	46431725297681595.15896709120	1
16	ADD	2905997278740201236.03011348480	2915210582318921527.676895232	2905997278740201236.03011348480	0
17	RMSNORM	44976119883062596300678.06640424960	32592579244565.238160075784192	32592579244565.238160075784192	1
18	GATED_MLP	628360452248285463440024.409648582623232	2719891754574984443.825487872	2719891754574984443.825487872	1
19	ADD	5625889201254322211.85560135680	5635102336893905971.502383104	5625889201254322211.85560135680	0
20	RMSNORM	27887532770617835917125.21592565760	10439131644357.128995261644800	10439131644357.128995261644800	1
21	SELF_ATTENTION_SEQUENCE	16798814390213934265234.533034106060800	59208913942791678.20828770304	59208913942791678.20828770304	1
22	ADD	5685098284900813564.06388905984	5694311250836697330.852298752	5685098284900813564.06388905984	0
23	RMSNORM	29886561683723747317483.86478757888	11069082362810.901824018579456	11069082362810.901824018579456	1
24	GATED_MLP	33670728336403427724642.591007308316672	2010918974981298698.1633753088	2010918974981298698.1633753088	1
25	ADD	7696017489515867524.22726436864	7705230225817995149.40637184	7696017489515867524.22726436864	0
26	RMSNORM	41012077201630230799159.09182048256	11221814719497.929787992702976	11221814719497.929787992702976	1
27	SELF_ATTENTION_SEQUENCE	26578946173811092959444.800841876537344	115042921474277756.58946723840	115042921474277756.58946723840	1
28	ADD	7811060644052446776.81673160704	7820273147292272191.313281024	7811060644052446776.81673160704	0
29	RMSNORM	44921409763945807857320.02347208704	12110485108229.812638567104512	12110485108229.812638567104512	1
30	GATED_MLP	56466923678333140693702.670421391933440	2580618391038730388.692271104	2580618391038730388.692271104	1
31	ADD	10391679345061899910.50900271104	10400891538331002580.005552128	10391679345061899910.50900271104	0
32	RMSNORM	52592289165358439514545.06272057344	10657023825492.007295536594944	10657023825492.007295536594944	1
33	SELF_ATTENTION_SEQUENCE	29969572672083543885786.707503332392960	126991600133336902.5081638912	126991600133336902.5081638912	1
34	ADD	10518671258950604166.01716660224	10527883138464340362.123018240	10518671258950604166.01716660224	0
35	RMSNORM	55180949424455039512082.05599535104	11046085388321.824521488171008	11046085388321.824521488171008	1
36	GATED_MLP	49045003068337683963123.134250520772608	2925270068084735505.072128	2925270068084735505.072128	1
37	ADD	13443941727970548664.08929460224	13453153206549075867.195146240	13443941727970548664.08929460224	0
38	RMSNORM	69612730267431668858130.36745039872	10904374021730.414020100358144	10904374021730.414020100358144	1
39	SELF_ATTENTION_SEQUENCE	29662362621882087515108.924019058802688	147956754057618029.8147954688	147956754057618029.8147954688	1
40	ADD	13591898887372830570.90409007104	13601109960606693017.400639488	13591898887372830570.90409007104	0
41	RMSNORM	191754509503056351076358.90272223232	29709312065796.47106191982592	29709312065796.47106191982592	1
42	GATED_MLP	463681736052127217510233.27769584828416	4360520907616705573.839437824	4360520907616705573.839437824	1
43	ADD	17952420330287849888.74352789504	17961630868223397491.728449536	17952420330287849888.74352789504	0
44	RMSNORM	107642712300406142311409.19325865984	12625881739709.513134153662464	12625881739709.513134153662464	1
45	SELF_ATTENTION_SEQUENCE	40796137077468194424076.186364608413696	221947853801593547.1097479168	221947853801593547.1097479168	1
46	ADD	18174368726002318671.85327581184	18183578722024991258.740523008	18174368726002318671.85327581184	0
47	RMSNORM	420445846107338390182815.68263110656	48718179948122.63674559856640	48718179948122.63674559856640	1
48	GATED_MLP	1209773606402312981530264.37251716546560	4597354616069661737.953001472	4597354616069661737.953001472	1
49	ADD	22771724020996700044.80627728384	22780933338094652996.693524480	22771724020996700044.80627728384	0
50	RMSNORM	131529477945277126721404.05759145984	12163667465373.803139292987392	12163667465373.803139292987392	1
51	INPUT_DECODER_STACK	0	-	0	0
52	EMBED	0	384829069721600.0	0	0
53	RMSNORM	124959742	8116776807442.094161991303168	124959742	0
54	SELF_ATTENTION_KV	8021852223206760	22459395990779883.20485048320	8021852223206760	0
55	ADD	8021852904017720	22844225060501483.20485048320	8021852904017720	0
56	RMSNORM	43590748680608438629	11441726624598.123305991405568	11441726624598.123305991405568	1
57	CROSS_ATTENTION	17453333928742633193103.368673172127744	36609865212674484.17037058048	36609865212674484.17037058048	1
58	ADD	44631719888562170.17037058048	59454090273175967.37522106368	44631719888562170.17037058048	0
59	RMSNORM	142241291284950955592.97103998976	6711116400005.303193625952256	6711116400005.303193625952256	1
60	GATED_MLP	5243607055982081810022.949327856959488	1286468583690336536.084086784	1286468583690336536.084086784	1
61	ADD	1331100343690520145.25445736448	1345922673963512580.425121792	1331100343690520145.25445736448	0
62	RMSNORM	5689122868933421641895.55077578752	8998954272985.918288162717696	8998954272985.918288162717696	1
63	SELF_ATTENTION_KV	8671486758887413564991.682503012286464	37001635348189171.24218552320	37001635348189171.24218552320	1
64	ADD	1368102020253065420.49664288768	1382924309311701806.642888704	1368102020253065420.49664288768	0
65	RMSNORM	10676668166055175551641.80109545472	16434304093245.88499812220928	16434304093245.88499812220928	1
66	CROSS_ATTENTION	36275658428137230481450.03049848094720	49871269104335400.463866265600	49871269104335400.463866265600	1
67	ADD	1417973332058036564.960509153280	1432795578416037234.594545664	1417973332058036564.960509153280	0
68	RMSNORM	8853825485370582722906.419153080320	13147652661545.241917349953536	13147652661545.241917349953536	1
69	GATED_MLP	47126026365937403045786.770322176409600	3071086630764760026.8960333824	3071086630764760026.8960333824	1
70	ADD	4489060097048946186.856542535680	4503882209180796821.685927936	4489060097048946186.856542535680	0
71	RMSNORM	57154713155627595643330.499564277760	26812977480579.565864540438528	26812977480579.565864540438528	1
72	SELF_ATTENTION_KV	64880581465435352976258.724447224725504	97216711878510173.0810953728	97216711878510173.0810953728	1
73	ADD	4586276946050889743.937637908480	4601098921059306994.7670233088	4586276946050889743.937637908480	0
74	RMSNORM	43037622861741853574563.794133176320	19760485467489.42827240030208	19760485467489.42827240030208	1
75	CROSS_ATTENTION	80929857521832489124607.33066065985536	93994406219400853.03143301120	93994406219400853.03143301120	1
76	ADD	4680271492194975576.969070919680	4695093327278708122.676363264	4680271492194975576.969070919680	0
77	RMSNORM	32476403884341160500573.383111659520	14613085479945.307113432023040	14613085479945.307113432023040	1
78	GATED_MLP	134209327783092206951133.740282410598400	7331063797067770686.538252288	7331063797067770686.538252288	1
79	ADD	12011335647670157968.507323207680	12026157124346478809.214615552	12011335647670157968.507323207680	0
80	RMSNORM	115657150951416263245420.015166750720	20276827454349.371173744148480	20276827454349.371173744148480	1
81	SELF_ATTENTION_KV	187665058977811154350557.603236058071040	300996121253220691.8053134336	300996121253220691.8053134336	1
82	ADD	12312332136301173808.312636641280	12327153245599699391.068766208	12312332136301173808.312636641280	0
83	RMSNORM	120759353592842230671166.340177674240	20653084827327.117694668374016	20653084827327.117694668374016	1
84	CROSS_ATTENTION	113349062738459698415078.527150662090752	112412550838653358.09223688192	112412550838653358.09223688192	1
85	ADD	12424745057867777395.404873523200	12439565796438351462.732398592	12424745057867777395.404873523200	0
86	RMSNORM	157371820902953679127341.128044851200	26672990738783.793385012461568	26672990738783.793385012461568	1
87	GATED_MLP	629075538298065639862934.847389508599808	15270428211458076247.010050048	15270428211458076247.010050048	1
88	ADD	27695174095148028427.414923571200	27709994007896427709.74244864	27695174095148028427.414923571200	0
89	RMSNORM	308718105638615434259284.153048166400	23473414322882.999655392608256	23473414322882.999655392608256	1
90	SELF_ATTENTION_KV	439326741039688287634976.865398547480576	367153571760372220.94276132864	367153571760372220.94276132864	1
91	ADD	28062328503672604544.357684899840	28077147579656801975.776837632	28062328503672604544.357684899840	0
92	RMSNORM	313315897743504991711519.551906713600	23512054519185.675970995552256	23512054519185.675970995552256	1
93	CROSS_ATTENTION	198352558022250885988070.550796770672640	143052837618619267.01945061376	143052837618619267.01945061376	1
94	ADD	28205382182318734493.377135513600	28220200417275420956.923265024	28205382182318734493.377135513600	0
95	RMSNORM	271363981976088856481841.420776345600	20260874304262.093908987609088	20260874304262.093908987609088	1
96	GATED_MLP	314296860495417501586879.987079055867904	21443216672814145754.821033984	21443216672814145754.821033984	1
97	ADD	49648600335218047242.198169497600	49663417090089568910.76755456	49648600335218047242.198169497600	0
98	RMSNORM	1381273709926102194304706.273592729600	58588200239022.34437167874048	58588200239022.34437167874048	1
99	SELF_ATTENTION_KV	1514103408105870878788920.47552912424960	611091150811473934.687404032	611091150811473934.687404032	1
100	ADD	50259692984326623655.885573529600	50274508240901035148.87356416	50259692984326623655.885573529600	0
101	RMSNORM	689462468358993068065061.297679052800	28889031280364.464660465844224	28889031280364.464660465844224	1
102	CROSS_ATTENTION	381078937165595578750427.843573302067200	270635421881925500.35254149120	270635421881925500.35254149120	1
103	ADD	50530329912571215727.238115020800	50545143662782963452.980756480	50530329912571215727.238115020800	0
104	RMSNORM	525667022080478694482008.110561382400	21907518773588.464389788270592	21907518773588.464389788270592	1
105	GATED_MLP	296300471061520728503562.542252342181888	21193174110515908634.12002816	21193174110515908634.12002816	1
106	ADD	71723506161055598192.358143180800	71738317773298877584.65892352	71723506161055598192.358143180800	0
107	RMSNORM	1781755340052943975706634.992897433600	52315649399742.70096827744256	52315649399742.70096827744256	1
108	SELF_ATTENTION_KV	1888939389327124042748099.70851247161344	969970646284202482.1629386752	969970646284202482.1629386752	1
109	ADD	72693478974215652412.521081856000	72708288419583085344.47767552	72693478974215652412.521081856000	0
110	RMSNORM	706944083024247534982798.521049600000	20478472127682.50160828383232	20478472127682.50160828383232	1
111	CROSS_ATTENTION	358610588825216468733558.28671604408320	405326764203568513.55017543680	405326764203568513.55017543680	1
112	ADD	73098807917374751564.071257292800	73113615183786647755.738316800	73098807917374751564.071257292800	0
113	RMSNORM	1152329608009496094722847.299963699200	33196414427957.938032121741312	33196414427957.938032121741312	1
114	GATED_MLP	1055247221635250400850996.309339584167936	32910845714298487170.354118656	32910845714298487170.354118656	1
115	ADD	106009656791448403401.425375948800	106024460898085144821.69708544	106009656791448403401.425375948800	0
116	RMSNORM	3446903990573945890786000.098975232000	68474965554163.124841480192000	68474965554163.124841480192000	1
117	SELF_ATTENTION_KV	1839759185056824275932874.958711271424000	538952421055588860.29558022144	538952421055588860.29558022144	1
118	ADD	106548612388341190732.720956170240	106563413319140744193.3238272	106548612388341190732.720956170240	0
119	RMSNORM	857077038051816799039158.371433410560	16939334439571.736526443249664	16939334439571.736526443249664	1
120	CROSS_ATTENTION	551521646086362076362006.606024613298176	600203433613893279.4796539904	600203433613893279.4796539904	1
121	ADD	107148819015679738710.200610160640	107163616752754620540.32441344	107148819015679738710.200610160640	0
122	RMSNORM	1793135486227400969872545.211038310400	35241884683645.42144887652352	35241884683645.42144887652352	1
123	GATED_MLP	8978269575942300343032635.73118416846848	134289068773139478359.56199424	134289068773139478359.56199424	1
124	ADD	241437894984669992487.762604400640	241452685525894098899.88640768	241437894984669992487.762604400640	0
125	RMSNORM	45882616124991706863742974.577693224960	400212034729953.25038599077888	400212034729953.25038599077888	1
126	MATMUL	339379824250610755.32732018049024	615988034322094.916806639616	615988034322094.916806639616	1
127	SOFTMAX	617087545949870.916806639616	1099511627776	1099511627776	1
