index	left_bound	right_bound	scale	gain	bias_units
4	175.0	9378.596900602439	1099511627776	2	626104527
7	9553.596900602439	496102.65192567307	1099511627776	2	33138687924
10	505656.2488262755	21338.641373899176	1099511627776	2	34537137125
13	526994.8902001746	777574.6953093327	1099511627776	2	85496272356
16	1304569.5855095075	21114.704076208724	1099511627776	2	86880045603
19	1325684.289585716	1236863.570090911	1099511627776	2	167939136532
22	2562547.859676627	26925.096764349146	1099511627776	2	169703699674
25	2589472.956440976	914460.0767200694	1099511627776	2	229633755262
28	3503933.033161045	52315.46377866733	1099511627776	2	233062301496
31	3556248.496939712	1173529.376973752	1099511627776	2	309970722745
34	4729777.873913464	57749.0937454681	1099511627776	2	313755367353
37	4787526.967658932	1330258.814089	1099511627776	2	400935208993
40	6117785.781747933	67282.9419534619	1099511627776	2	405344663877
43	6185068.723701394	1982935.331223737	1099511627776	2	535298313744
46	8168004.054925131	100930.1985512109	1099511627776	2	541912875236
49	8268934.253476341	2090634.832743336	1099511627776	2	678924719635
55	175.0	10213.350829317225	1099511627776	2	680810960
58	10388.350829317225	16648.23922177424	1099511627776	2	1771869966
61	27036.590051091465	585018.180431842	1099511627776	2	40111621439
64	612054.7704829335	16826.395653055974	1099511627776	2	41214356104
67	628881.1661359895	22678.827510542487	1099511627776	2	42700635744
70	651559.993646532	1396568.5096831112	1099511627776	2	134226149595
73	2048128.503329643	44209.04218864515	1099511627776	2	137123433384
76	2092337.5455182882	42743.70722641872	1099511627776	2	139924684980
79	2135081.252744707	3333781.8408962316	1099511627776	2	358407411705
82	5468863.093640938	136877.18876700304	1099511627776	2	367377795148
85	5605740.282407941	51119.309700267586	1099511627776	2	370727950229
88	5656859.592108209	6944186.776062487	1099511627776	2	825822174785
91	12601046.368170695	166962.11412653257	1099511627776	2	836764203896
94	12768008.482297229	65052.89894385863	1099511627776	2	841027510682
97	12833061.381241087	9751245.976446692	1099511627776	2	1480085166994
100	22584307.35768778	277892.0819816785	1099511627776	2	1498297102479
103	22862199.439669456	123070.74115684623	1099511627776	2	1506362666571
106	22985270.180826303	9637539.783632705	1099511627776	2	2137968473831
109	32622809.96445901	441091.5818353726	1099511627776	2	2166875851738
112	33063901.546294384	184321.27226495527	1099511627776	2	2178955530638
115	33248222.818559337	14966119.904010378	1099511627776	2	3159775164667
118	48214342.72256972	245087.18572887522	1099511627776	2	3175837198471
121	48459429.9082986	272940.9214288777	1099511627776	2	3193724654698
124	48732370.82972747	61067598.27759537	1099511627776	2	7195850775418
