index	kind	Bq	Bm	Q	K	V	O	Qb	Kb	Vb	Rb	scale	gain	bias	weighted	o_round	tensor_gain
3	SELF_ATTENTION_SEQUENCE	3.263191086098983	3.263191086098983	44.154628641760397	349.48913828855973	186.63640102445396	648.89609268194044	4.343145923457586	34.34386192853667	18.65092239347742	16.819866180419922	1099511627776	1111699898	7835691574318984	7125.7644272794705	0.7555442904131617	1111699897.4309142
9	SELF_ATTENTION_SEQUENCE	3.8841240836453688	3.8841240836453688	30.835611190648642	249.44920665888606	222.20688388014779	889.49762988606551	4.3808949485660404	35.60401194496191	32.07682337535658	16.819866180419922	1099511627776	1752082427	17622333411187301	16025.708387856796	1.710482494091037	1752082426.1998262
15	SELF_ATTENTION_SEQUENCE	3.993789846295927	3.993789846295927	26.308419918468324	216.41371141707128	282.35906345724806	661.52113948765248	3.7167567910167554	31.06214718726347	40.25017374413321	16.819866180419922	1099511627776	1234739837	12537310344869023	11401.1288082965	1.4885248447883612	1234739836.655315
21	SELF_ATTENTION_SEQUENCE	4.7471674608264625	4.7471674608264625	22.07137807170637	191.43855632539999	270.29243565783048	647.30472684619463	4.065869929791807	34.34493785751877	49.7741638400946	16.819866180419922	1099511627776	1609213671	21034745732279749	19128.88151631949	2.1082803296355412	1609213670.6678326
27	SELF_ATTENTION_SEQUENCE	5.103090515830413	5.103090515830413	18.446168752475529	154.66022495064834	342.62427816134505	933.62001632483941	3.6758354620244327	30.80552521971753	68.46461473949172	16.819866180419922	1099511627776	2368503944	33751842992556749	30693.32236217703	3.800014625036746	2368503943.5447936
33	SELF_ATTENTION_SEQUENCE	4.846253352976422	4.846253352976422	21.251849517358398	174.26488231257366	396.28268361745796	989.05357558656988	4.486032651978332	35.95347633563843	81.04548506843472	16.819866180419922	1099511627776	2812185840	41173492289936102	37442.7153564974	4.357734687957159	2812185839.2676506
39	SELF_ATTENTION_SEQUENCE	4.9587351994570845	4.9587351994570845	16.439326002576337	145.213975777625	395.49603011903741	1039.8982244255467	3.4131101245262774	28.9337610848079	78.38442720371883	16.819866180419922	1099511627776	2720222477	39310356128863116	35747.84403300859	4.716590999334861	2720222476.0960555
45	SELF_ATTENTION_SEQUENCE	5.741586273738682	5.741586273738682	15.605914444745373	124.23010773515105	402.8167062909572	1243.3454329367328	3.661209096109693	29.79536470770167	95.62627175754557	16.819866180419922	1099511627776	3231147189	54785559371384097	49820.27485700713	6.9011249328529765	3231147188.8122587
54	SELF_ATTENTION_KV	3.691082750920984	3.691082750920984	27.081733209751924	215.21190251300638	210.06496630889629	575.133109964455	3.530281657650979	27.60459548779801	28.570647355903752	0	1099511627776	568832762	5329299930916740	4846.280644549008	0.6894067785939709	568832761.2542295
57	CROSS_ATTENTION	5.203094872103121	5.531395556942608	29.82234766934004	217.8201328249103	140.83984634833982	756.60922575233019	3.721703785841867	45.266871463939104	29.628478964394397	0	1099511627776	1434873007	15816553655903600	14383.651158113444	1.4205922381039027	1434873006.7599797
