index	B	A	C	O	U	V	scale	gain	bias
6	4.248269145856824	335.241035047472	315.77225982888541	1241.3339824598766	33.64217497272635	35.01627699391802	1099511627776	1674761894	490955037505549
12	7.942858177399127	419.5743637504732	438.26010666420501	1045.6298322952962	51.70260295998898	105.64030725199959	1099511627776	4581597288	1917428024883683
18	14.821389070023196	590.52810824246717	562.1775223287143	1306.0683123426602	79.95931619735649	277.1848563817592	1099511627776	19279248746	9718595468327192
24	5.033635881232341	280.21667969787228	617.5052416227179	1164.1345897634908	35.106796212458896	87.66014724906131	1099511627776	3041871587	1202806120012314
30	5.507211020917481	303.00041917585168	691.35670413558125	1347.2065669799129	39.99213754030837	118.25166024730004	1099511627776	4662647370	2139021239438895
36	5.023178068005029	279.42365568086234	803.06069794068969	1313.0310052986356	38.69702274005316	118.10479189420595	1099511627776	4440034576	2014740396472311
42	13.51023095858021	268.21951874440202	1104.4292278837577	1299.9153877148954	58.547985189145344	460.99091504587454	1099511627776	15607285798	11779271913147014
48	22.154463271418827	244.71047285695323	1059.072477953569	1441.625035753405	36.547214159174025	1278.4908911416535	1099511627776	24832076754	22615347927658700
60	3.0518624043931153	245.74593550641964	302.14577495372481	1149.3340124060051	31.83875774579794	34.66730356206761	1099511627776	781331498	425913571057803
69	5.978860218213068	308.49704863941889	404.50189255075509	1601.405671242574	43.59731077615949	52.0249193865531	1099511627776	3584367975	1219471123903610
78	6.645261910282582	297.25862938568991	593.50705590469192	2611.2415557357663	48.2347334529974	96.00435440267482	1099511627776	9184187960	4059727695901449
87	12.129471878681121	438.82462234425066	564.66976387324701	2615.6667259189485	103.7762063980316	130.36603064707953	1099511627776	23584739056	11880745214075597
96	9.213578916506819	281.06370421314352	732.28216956560016	2726.7730998150851	77.05152037123325	202.1296531438764	1099511627776	15512501658	14258022173357158
105	9.962386126784834	257.58242600505781	752.20951030687058	2335.6052992747032	83.45686725763063	241.8284916602746	1099511627776	13525057689	15825886218086754
114	15.095981520043068	262.29722635088586	1073.1896554749139	2493.504983412502	94.04021496963263	396.98172000261616	1099511627776	31787987003	31253121786855231
123	16.02615370013401	299.83885092057136	3384.4349096527621	5221.6634450828551	93.04739810281319	1216.1971628530762	1099511627776	254761328974	198388337211726528
