index	B	w	eps	d	scale	gain	bias
2	175.0	0.1442140340805054	9.999999974752427078783512115478515625E-7	512	1099511627776	3408	110473686
5	9553.596900602439	0.18774874508380893	9.999999974752427078783512115478515625E-7	512	1099511627776	4437	143823006
8	505656.2488262755	0.17165565490722659	9.999999974752427078783512115478515625E-7	512	1099511627776	4056	131495059
11	526994.8902001746	0.35102805495262152	9.999999974752427078783512115478515625E-7	512	1099511627776	8294	268901451
14	1304569.5855095075	0.17650224268436435	9.999999974752427078783512115478515625E-7	512	1099511627776	4171	135207738
17	1325684.289585716	0.65501904487609874	9.999999974752427078783512115478515625E-7	512	1099511627776	15477	501770640
20	2562547.859676627	0.20979714393615725	9.999999974752427078783512115478515625E-7	512	1099511627776	4957	160712957
23	2589472.956440976	0.22245737910270694	9.999999974752427078783512115478515625E-7	512	1099511627776	5257	170411200
26	3503933.033161045	0.22552686929702762	9.999999974752427078783512115478515625E-7	512	1099511627776	5329	172762552
29	3556248.496939712	0.24338664114475253	9.999999974752427078783512115478515625E-7	512	1099511627776	5751	186443847
32	4729777.873913464	0.21417616307735446	9.999999974752427078783512115478515625E-7	512	1099511627776	5061	164067459
35	4787526.967658932	0.22199520468711856	9.999999974752427078783512115478515625E-7	512	1099511627776	5246	170057156
38	6117785.781747933	0.21914720535278323	9.999999974752427078783512115478515625E-7	512	1099511627776	5178	167875476
41	6185068.723701394	0.59707349538803112	9.999999974752427078783512115478515625E-7	512	1099511627776	14108	457382044
44	8168004.054925131	0.25374466180801397	9.999999974752427078783512115478515625E-7	512	1099511627776	5996	194378503
47	8268934.253476341	0.97909820079803478	9.999999974752427078783512115478515625E-7	512	1099511627776	23134	750028162
50	10359569.086219678	0.24445545673370364	9.999999974752427078783512115478515625E-7	512	1099511627776	5776	187262603
53	175.0	0.16312435269355777	9.999999974752427078783512115478515625E-7	512	1099511627776	3855	124959742
56	10388.350829317225	0.22994647920131686	9.999999974752427078783512115478515625E-7	512	1099511627776	5434	176148149
59	27036.590051091465	0.13487453758716586	9.999999974752427078783512115478515625E-7	512	1099511627776	3187	103319260
62	612054.7704829335	0.18085363507270816	9.999999974752427078783512115478515625E-7	512	1099511627776	4274	138541078
65	628881.1661359895	0.33028322458267217	9.999999974752427078783512115478515625E-7	512	1099511627776	7804	253010086
68	651559.993646532	0.26423078775405889	9.999999974752427078783512115478515625E-7	512	1099511627776	6244	202411293
71	2048128.503329643	0.53886532783508312	9.999999974752427078783512115478515625E-7	512	1099511627776	12732	412792273
74	2092337.5455182882	0.39713010191917425	9.999999974752427078783512115478515625E-7	512	1099511627776	9384	304217453
77	2135081.252744707	0.29368185997009283	9.999999974752427078783512115478515625E-7	512	1099511627776	6939	224971985
80	5468863.093640938	0.40750712156295782	9.999999974752427078783512115478515625E-7	512	1099511627776	9629	312166663
83	5605740.282407941	0.41506883502006536	9.999999974752427078783512115478515625E-7	512	1099511627776	9808	317959236
86	5656859.592108209	0.53605198860168468	9.999999974752427078783512115478515625E-7	512	1099511627776	12666	410637143
89	12601046.368170695	0.47174951434135443	9.999999974752427078783512115478515625E-7	512	1099511627776	11147	361378890
92	12768008.482297229	0.4725260734558106	9.999999974752427078783512115478515625E-7	512	1099511627776	11165	361973766
95	12833061.381241087	0.40718650817871099	9.999999974752427078783512115478515625E-7	512	1099511627776	9621	311921060
98	22584307.35768778	1.1774578094482424	9.999999974752427078783512115478515625E-7	512	1099511627776	27821	901979511
101	22862199.439669456	0.58058816194534313	9.999999974752427078783512115478515625E-7	512	1099511627776	13718	444753623
104	22985270.180826303	0.4402794241905213	9.999999974752427078783512115478515625E-7	512	1099511627776	10403	337271550
107	32622809.96445901	1.0513972043991091	9.999999974752427078783512115478515625E-7	512	1099511627776	24842	805412074
110	33063901.546294384	0.41155961155891424	9.999999974752427078783512115478515625E-7	512	1099511627776	9725	315271031
113	33248222.818559337	0.66715443134307872	9.999999974752427078783512115478515625E-7	512	1099511627776	15764	511066828
116	48214342.72256972	1.3761539459228518	9.999999974752427078783512115478515625E-7	512	1099511627776	32515	1054188654
119	48459429.9082986	0.3404329121112824	9.999999974752427078783512115478515625E-7	512	1099511627776	8044	260785151
122	48732370.82972747	0.70826262235641491	9.999999974752427078783512115478515625E-7	512	1099511627776	16735	542557338
125	109799969.10732284	8.0431346893310565	9.999999974752427078783512115478515625E-7	512	1099511627776	190039	6161361057
