name	kind	begin	end	rows	cols	bound
decoder.block.0.layer.0.SelfAttention.k.weight	row_l1	22440	808872	384	512	215.21190251300638
decoder.block.0.layer.0.SelfAttention.o.weight	row_l1	808872	1595304	512	384	575.133109964455
decoder.block.0.layer.0.SelfAttention.q.weight	row_l1	1595304	2381736	384	512	27.081733209751924
decoder.block.0.layer.0.SelfAttention.v.weight	row_l1	2382504	3168936	384	512	210.06496630889629
decoder.block.0.layer.0.layer_norm.weight	maxabs	3168936	3170984	1	512	0.16312435269355777
decoder.block.0.layer.1.EncDecAttention.k.weight	row_l1	3170984	3957416	384	512	217.8201328249103
decoder.block.0.layer.1.EncDecAttention.o.weight	row_l1	3957416	4743848	512	384	756.60922575233019
decoder.block.0.layer.1.EncDecAttention.q.weight	row_l1	4743848	5530280	384	512	29.82234766934004
decoder.block.0.layer.1.EncDecAttention.v.weight	row_l1	5530280	6316712	384	512	140.83984634833982
decoder.block.0.layer.1.layer_norm.weight	maxabs	6316712	6318760	1	512	0.22994647920131686
decoder.block.0.layer.2.DenseReluDense.wi_0.weight	row_l1	6318760	8415912	1024	512	245.74593550641964
decoder.block.0.layer.2.DenseReluDense.wi_1.weight	row_l1	8415912	10513064	1024	512	302.14577495372481
decoder.block.0.layer.2.DenseReluDense.wo.weight	row_l1	10513064	12610216	512	1024	1149.3340124060051
decoder.block.0.layer.2.layer_norm.weight	maxabs	12610216	12612264	1	512	0.13487453758716586
decoder.block.1.layer.0.SelfAttention.k.weight	row_l1	12612264	13398696	384	512	183.43344223990744
decoder.block.1.layer.0.SelfAttention.o.weight	row_l1	13398696	14185128	512	384	756.33071115034147
decoder.block.1.layer.0.SelfAttention.q.weight	row_l1	14185128	14971560	384	512	33.746393496783746
decoder.block.1.layer.0.SelfAttention.v.weight	row_l1	14971560	15757992	384	512	223.69938903195543
decoder.block.1.layer.0.layer_norm.weight	maxabs	15757992	15760040	1	512	0.18085363507270816
decoder.block.1.layer.1.EncDecAttention.k.weight	row_l1	15760040	16546472	384	512	226.29085426522778
decoder.block.1.layer.1.EncDecAttention.o.weight	row_l1	16546472	17332904	512	384	770.35168605161402
decoder.block.1.layer.1.EncDecAttention.q.weight	row_l1	17332904	18119336	384	512	31.479134966395552
decoder.block.1.layer.1.EncDecAttention.v.weight	row_l1	18119336	18905768	384	512	191.40194455709934
