name	dtype	begin	end	shape	elements	crc32
model.decoder.embed_positions.weight	F32	19112	707240	448x384	172032	2e8bd85f
model.decoder.embed_tokens.weight	F32	707240	80370344	51864x384	19915776	93341dbc
model.decoder.layer_norm.bias	F32	80370344	80371880	384	384	bf200d9d
model.decoder.layer_norm.weight	F32	80371880	80373416	384	384	c60cb79d
model.decoder.layers.0.encoder_attn.k_proj.weight	F32	80373416	80963240	384x384	147456	b92efe5b
model.decoder.layers.0.encoder_attn.out_proj.bias	F32	80963240	80964776	384	384	8230a68a
model.decoder.layers.0.encoder_attn.out_proj.weight	F32	80964776	81554600	384x384	147456	f19154c2
model.decoder.layers.0.encoder_attn.q_proj.bias	F32	81554600	81556136	384	384	5bb0189e
model.decoder.layers.0.encoder_attn.q_proj.weight	F32	81556136	82145960	384x384	147456	89c3dde5
model.decoder.layers.0.encoder_attn.v_proj.bias	F32	82145960	82147496	384	384	81fd68a1
model.decoder.layers.0.encoder_attn.v_proj.weight	F32	82147496	82737320	384x384	147456	d72ec304
model.decoder.layers.0.encoder_attn_layer_norm.bias	F32	82737320	82738856	384	384	77f3ceed
model.decoder.layers.0.encoder_attn_layer_norm.weight	F32	82738856	82740392	384	384	b06c4c9d
model.decoder.layers.0.fc1.bias	F32	82740392	82746536	1536	1536	48d394b8
model.decoder.layers.0.fc1.weight	F32	82746536	85105832	1536x384	589824	8ba39067
model.decoder.layers.0.fc2.bias	F32	85105832	85107368	384	384	77135f53
model.decoder.layers.0.fc2.weight	F32	85107368	87466664	384x1536	589824	f66768a5
model.decoder.layers.0.final_layer_norm.bias	F32	87466664	87468200	384	384	11cdbb4a
model.decoder.layers.0.final_layer_norm.weight	F32	87468200	87469736	384	384	72f610d4
model.decoder.layers.0.self_attn.k_proj.weight	F32	87469736	88059560	384x384	147456	1fb37080
model.decoder.layers.0.self_attn.out_proj.bias	F32	88059560	88061096	384	384	fca50bd6
model.decoder.layers.0.self_attn.out_proj.weight	F32	88061096	88650920	384x384	147456	1255075d
model.decoder.layers.0.self_attn.q_proj.bias	F32	88650920	88652456	384	384	befb5d1e
model.decoder.layers.0.self_attn.q_proj.weight	F32	88652456	89242280	384x384	147456	343222c7
model.decoder.layers.0.self_attn.v_proj.bias	F32	89242280	89243816	384	384	8e3ab95d
